Grid Row,Grid Column,latitude,longitude,avg_traffic_probe_count
0,0,28.6016452,77.13545495,0.0813948458690715
0,1,28.6016452,77.14492925,0.1326011890009511
0,2,28.6016452,77.15440355,0.3928488395977314
0,3,28.6016452,77.16387785,0.2806414682252159
0,4,28.6016452,77.17335215,0.2445602687328142
0,5,28.6016452,77.18282645000001,0.1238482611556945
0,6,28.6016452,77.19230075,0.1169973284321064
0,7,28.6016452,77.20177505000001,0.1451347272641945
0,8,28.6016452,77.21124935,0.1400331841777731
0,9,28.6016452,77.22072365,0.064803755446535
0,10,28.6016452,77.23019795,0.032045311562738
0,11,28.6016452,77.23967225,0.1028365288467484
0,12,28.6016452,77.24914655,0.3944424204913737
0,13,28.6016452,77.25862085,0.1854133626949484
0,14,28.6016452,77.26809515000001,0.2292257770061174
1,0,28.60897,77.13545495,0.1729083573611925
1,1,28.60897,77.14492925,0.3175378514963183
1,2,28.60897,77.15440355,0.0
1,3,28.60897,77.16387785,0.0
1,4,28.60897,77.17335215,0.1050196250357684
1,5,28.60897,77.18282645000001,0.1697891597675448
1,6,28.60897,77.19230075,0.1161016226084436
1,7,28.60897,77.20177505000001,0.0122972258600709
1,8,28.60897,77.21124935,0.0343501526621815
1,9,28.60897,77.22072365,0.1254237975966461
1,10,28.60897,77.23019795,0.2257560360316751
1,11,28.60897,77.23967225,0.1204809369578495
1,12,28.60897,77.24914655,0.1766366233781477
1,13,28.60897,77.25862085,0.0
1,14,28.60897,77.26809515000001,0.0
2,0,28.6162948,77.13545495,0.3757588903316732
2,1,28.6162948,77.14492925,0.0
2,2,28.6162948,77.15440355,0.0
2,3,28.6162948,77.16387785,0.0
2,4,28.6162948,77.17335215,0.1514120797043252
2,5,28.6162948,77.18282645000001,0.0
2,6,28.6162948,77.19230075,0.1506541452869828
2,7,28.6162948,77.20177505000001,0.0028557942961342
2,8,28.6162948,77.21124935,0.0173877706514978
2,9,28.6162948,77.22072365,0.095436717108606
2,10,28.6162948,77.23019795,0.1641265422029379
2,11,28.6162948,77.23967225,0.0827617931894839
2,12,28.6162948,77.24914655,0.1189368258651106
2,13,28.6162948,77.25862085,0.0
2,14,28.6162948,77.26809515000001,0.0
3,0,28.6236196,77.13545495,0.1128324278427409
3,1,28.6236196,77.14492925,0.0
3,2,28.6236196,77.15440355,0.0420854975819295
3,3,28.6236196,77.16387785,0.0430239754922607
3,4,28.6236196,77.17335215,0.1525723239691269
3,5,28.6236196,77.18282645000001,0.0957165403313655
3,6,28.6236196,77.19230075,0.1597514696853277
3,7,28.6236196,77.20177505000001,0.1201417285862201
3,8,28.6236196,77.21124935,0.0922063884124077
3,9,28.6236196,77.22072365,0.0728842780455335
3,10,28.6236196,77.23019795,0.0818555671520747
3,11,28.6236196,77.23967225,0.1016326517010059
3,12,28.6236196,77.24914655,0.1755580655583228
3,13,28.6236196,77.25862085,0.0
3,14,28.6236196,77.26809515000001,0.1083124881215021
4,0,28.6309444,77.13545495,0.1457125074732021
4,1,28.6309444,77.14492925,0.0395308506877903
4,2,28.6309444,77.15440355,0.0389605699331463
4,3,28.6309444,77.16387785,0.0435277818031118
4,4,28.6309444,77.17335215,0.0611224211348398
4,5,28.6309444,77.18282645000001,0.0
4,6,28.6309444,77.19230075,0.1453492394650396
4,7,28.6309444,77.20177505000001,0.0620635940966014
4,8,28.6309444,77.21124935,0.0614381488217959
4,9,28.6309444,77.22072365,0.124094189040962
4,10,28.6309444,77.23019795,0.0781420145145125
4,11,28.6309444,77.23967225,0.1189020028135738
4,12,28.6309444,77.24914655,0.1654387755435336
4,13,28.6309444,77.25862085,0.1713671498808941
4,14,28.6309444,77.26809515000001,0.1445597693856185
5,0,28.6382692,77.13545495,0.0439382346565135
5,1,28.6382692,77.14492925,0.037606071317485
5,2,28.6382692,77.15440355,0.0
5,3,28.6382692,77.16387785,0.0
5,4,28.6382692,77.17335215,0.0743550468366585
5,5,28.6382692,77.18282645000001,0.0846108156683296
5,6,28.6382692,77.19230075,0.0888967589814986
5,7,28.6382692,77.20177505000001,0.061339290091079
5,8,28.6382692,77.21124935,0.0402051734105451
5,9,28.6382692,77.22072365,0.1351074206374465
5,10,28.6382692,77.23019795,0.0567509448160807
5,11,28.6382692,77.23967225,0.0495570210371145
5,12,28.6382692,77.24914655,0.0827530129601758
5,13,28.6382692,77.25862085,0.1775887081394144
5,14,28.6382692,77.26809515000001,0.1333846453550703
6,0,28.645594,77.13545495,0.0159121252154754
6,1,28.645594,77.14492925,0.0366120734838023
6,2,28.645594,77.15440355,0.0202800661990657
6,3,28.645594,77.16387785,0.0760582979743464
6,4,28.645594,77.17335215,0.0270909531678052
6,5,28.645594,77.18282645000001,0.0345732303963434
6,6,28.645594,77.19230075,0.0788762867714276
6,7,28.645594,77.20177505000001,0.0849758728241187
6,8,28.645594,77.21124935,0.0306247912016764
6,9,28.645594,77.22072365,0.0289916095919909
6,10,28.645594,77.23019795,0.071757713706496
6,11,28.645594,77.23967225,0.0466238070150965
6,12,28.645594,77.24914655,0.0702771564069241
6,13,28.645594,77.25862085,0.1351102055469324
6,14,28.645594,77.26809515000001,0.0731202039561296
7,0,28.6529188,77.13545495,0.0402522313051299
7,1,28.6529188,77.14492925,0.0377122339186615
7,2,28.6529188,77.15440355,0.0848125119725476
7,3,28.6529188,77.16387785,0.0238278482440869
7,4,28.6529188,77.17335215,0.0
7,5,28.6529188,77.18282645000001,0.0149670994054433
7,6,28.6529188,77.19230075,0.025238584826547
7,7,28.6529188,77.20177505000001,0.0883778098247372
